particle#, xPos, yPos
1.0, 12197.331999461228, 7356.9255027830095
1.0, 12231.960818364445, 7410.72397752407
1.0, 12195.357229622841, 7394.049207153176
1.0, 12095.5812603921, 7321.499352890763
1.0, 12096.876933030188, 7349.90672473171
1.0, 12018.271278620152, 7308.091734602171
1.0, 12051.126060461895, 7376.941996786901
1.0, 12060.900496188542, 7357.227309419819
1.0, 12003.986505138604, 7355.160752102969
1.0, 12055.973731083537, 7329.637037875645
1.0, 12009.483137386243, 7333.271314457879
1.0, 12019.843179163896, 7299.183372746915
1.0, 11945.140455655497, 7173.772263826466
1.0, 11916.946026602482, 7116.8101771958345
1.0, 11932.456358730782, 7010.308461772779
2.0, 11193.751556733365, 8389.374162424965
2.0, 11225.81505369921, 8436.408058534376
2.0, 11207.306181750375, 8358.255159241395
2.0, 11312.848788013727, 8294.33752705382
2.0, 11229.67419236484, 8284.23919053045
2.0, 11119.388536986524, 8262.85357239892
2.0, 11109.864410148477, 8282.587483326208
2.0, 11140.312357477877, 8175.333125469922
2.0, 11093.59288415675, 8209.631098810158
2.0, 11090.178579804615, 8256.301082050006
2.0, 11070.489019184453, 8241.645564936854
2.0, 11052.610763541676, 8282.253463780648
2.0, 10984.748745959978, 8307.805073723766
3.0, 10788.161490221219, 14491.379078079817
3.0, 10809.962987940648, 14427.658322578473
3.0, 10769.519189257473, 14462.98018236905
3.0, 10740.11574758187, 14493.32358398573
3.0, 10725.383055154718, 14476.405871424553
3.0, 10714.866347725268, 14452.04244333421
3.0, 10752.588838069129, 14322.150560388896
3.0, 10710.977609582, 14347.669321581378
3.0, 10732.391287977545, 14372.022528944093
3.0, 10836.939155505104, 14303.669123112277
3.0, 10835.510647286692, 14337.573863198379
3.0, 10884.436529052862, 14346.107428494048
3.0, 10870.310005482595, 14248.358940441103
3.0, 10861.115660281002, 14204.437384429404
3.0, 10727.543355256086, 14197.887244356889
3.0, 10734.375857441439, 14115.222780798074
3.0, 10787.702624987367, 14128.366566477338
3.0, 10831.878334687617, 14083.08393322522
3.0, 10850.49318874539, 14134.096108082622
3.0, 10819.743992527076, 14136.483945994005
3.0, 10843.745276140464, 14212.498152461667
3.0, 10912.627145192433, 14257.195959810284
3.0, 10907.694022747468, 14304.786079340127
3.0, 10937.266675627603, 14323.230715301514
3.0, 10984.803780754895, 14350.90585617199
3.0, 10997.750814456404, 14348.248697698811
3.0, 10995.010333229013, 14412.346855973998
3.0, 10850.868159986516, 14373.226612668763
3.0, 10977.470050085603, 14376.234354350383
3.0, 10908.976648341555, 14371.583159036265
3.0, 10937.410740326462, 14325.342106132139
3.0, 10854.620218743663, 14257.166036007568
3.0, 10938.428000378752, 14304.975421657293
3.0, 10960.385861481373, 14299.59076415091
3.0, 10999.11169466985, 14246.803147867866
3.0, 10954.715062634821, 14226.707441998873
3.0, 10966.168859944006, 14271.776537050946
3.0, 10940.242274396876, 14259.801021931025
3.0, 10920.852069530894, 14256.61686725829
3.0, 10929.949679470612, 14377.467779443667
3.0, 10853.00377866336, 14467.973805658688
3.0, 10820.293243089316, 14490.545297295046
3.0, 10862.758269559326, 14545.106527417911
3.0, 10864.982319562054, 14483.791255799295
3.0, 10828.521774467376, 14443.54930551086
4.0, 3355.748927577554, 24115.532021308187
4.0, 3305.8315381638727, 24096.934356611608
4.0, 3354.6023655582408, 24072.646186217527
4.0, 3230.582200793801, 24086.898838261
4.0, 3195.837853432121, 24228.092252726954
4.0, 3181.7686214862933, 24124.030573631862
4.0, 3133.112332496712, 24115.786665732656
4.0, 3110.8064356565333, 24132.125676620548
4.0, 3114.7052782392657, 24118.34099503339
5.0, 18645.75886576554, 6040.616397618379
5.0, 18688.987012442627, 6021.90393118467
5.0, 18595.675203192255, 6032.261879047668
5.0, 18631.670190754096, 6176.891055146812
5.0, 18701.56106524842, 6232.031798167549
5.0, 18689.641127000803, 6127.615835752575
5.0, 18738.416031721135, 6143.925913325334
6.0, 5254.68529427544, 2701.573285168965
6.0, 5184.314429521098, 2699.2265920503105
6.0, 5144.85183231891, 2669.139513194171
6.0, 5113.154795431996, 2711.713775258636
6.0, 5061.95703538589, 2746.109135618761
6.0, 5000.601584192954, 2724.6749555461192
6.0, 4971.170884814878, 2696.9774097586455
6.0, 4901.591875972583, 2778.8637971323697
6.0, 4892.387247145612, 2721.0984837213955
7.0, 2527.7539555519647, 20716.066605670407
7.0, 2608.956955219508, 20601.84568807496
7.0, 2651.8721370820854, 20554.708344860315
7.0, 2658.813215586996, 20666.277100982876
7.0, 2754.625353496618, 20613.9389133247
7.0, 2749.0944875001555, 20627.648166492727
7.0, 2768.583874597934, 20741.768857453033
7.0, 2807.1677320551407, 20801.404374020167
7.0, 2761.6684187596375, 20829.726275548244
7.0, 2883.514160570453, 20903.464532745016
7.0, 2729.896460401456, 20955.735555828487
7.0, 2768.315549262549, 20788.667554737
7.0, 2751.4513124602745, 20757.5242211115
7.0, 2663.7256293984806, 20799.22153242712
7.0, 2688.286276135474, 20802.011163589676
8.0, 18428.51800716655, 24746.55554233165
8.0, 18455.714182682423, 24707.00226075699
8.0, 18443.469023078214, 24743.558020267763
8.0, 18393.486751264074, 24798.076783298646
8.0, 18450.628360946703, 24793.45175584397
8.0, 18525.461922393602, 24848.529690483963
8.0, 18534.590222180643, 24815.582909711047
8.0, 18606.40159116194, 24896.93790069899
8.0, 18583.563018799607, 24860.92935085639
8.0, 18669.520137721553, 24867.11985136348
8.0, 18664.624807703767, 24786.179778666592
8.0, 18531.59622792175, 24702.02886177127
8.0, 18578.368427402937, 24763.967549951103
8.0, 18588.44370420066, 24741.354665961084
8.0, 18527.151320511315, 24806.52574036471
8.0, 18426.52546854647, 24705.930822536204
8.0, 18411.136024994532, 24679.326815484917
8.0, 18439.42374005731, 24622.99090145438
8.0, 18434.070223819235, 24593.783223487004
8.0, 18435.524741099685, 24609.463805205392
8.0, 18464.000907227382, 24604.861051045824
8.0, 18506.149075664336, 24624.73342856974
8.0, 18491.714224305368, 24524.14599183906
8.0, 18560.359681905422, 24502.248292660788
8.0, 18537.43652443862, 24624.743269678787
8.0, 18609.9320781692, 24636.483345324308
9.0, 16858.88639797091, 22337.436041437646
9.0, 16753.322828681066, 22384.581173480394
9.0, 16678.126707192336, 22318.314901254194
9.0, 16610.476226801136, 22426.70573810535
9.0, 16607.50823778376, 22479.471470139255
9.0, 16630.988859162437, 22502.973883457016
9.0, 16659.4576241156, 22502.87821074199
9.0, 16628.950972972252, 22407.12967487748
9.0, 16632.25361677178, 22414.17350534746
9.0, 16626.366511119195, 22414.183356517293
9.0, 16631.40266942181, 22344.82781547461
9.0, 16610.602822817906, 22253.39909449114
9.0, 16638.873327406694, 22276.996500949386
9.0, 16561.70624136115, 22232.719065358226
9.0, 16456.28006406156, 22240.67844038268
9.0, 16452.13780338252, 22221.347120149898
9.0, 16409.99399574245, 22229.183853961364
9.0, 16373.357301484188, 22295.6010207914
9.0, 16360.889807969143, 22257.360743534555
9.0, 16344.3033645745, 22353.143610822546
9.0, 16330.292312052074, 22342.229976417384
9.0, 16347.107248717019, 22342.547406020167
9.0, 16281.638828469413, 22352.20411778624
9.0, 16140.95697563669, 22384.26976965976
9.0, 16077.329277396819, 22449.48981134107
9.0, 16077.316429740296, 22431.787658603735
9.0, 15998.8905529926, 22511.888044124513
9.0, 16014.974113667593, 22518.23618567803
9.0, 16004.537582919975, 22516.805457716724
9.0, 16030.564410767396, 22541.93877198833
9.0, 15965.418807617561, 22444.298642480364
9.0, 15976.73144601543, 22507.014518228607
9.0, 16010.853114932528, 22522.692017210513
9.0, 15970.104258445881, 22469.350081488476
9.0, 16006.311701157076, 22405.669027929685
9.0, 15964.172741200162, 22456.096478888318
9.0, 15971.912890611822, 22572.077154925282
9.0, 16043.331306342754, 22563.919976648478
9.0, 16058.107750379511, 22599.47893594575
9.0, 16089.571969398747, 22630.466016615603
9.0, 16100.070348638572, 22632.691804944072
9.0, 16053.788456407134, 22621.565313589046
