particle#, xPos, yPos
1.0, 158.72, 119.14
1.0, 158.9, 119.04
1.0, 158.88, 118.79
1.0, 158.89, 119.05
1.0, 158.87, 119.19
1.0, 158.23, 118.47
1.0, 158.51, 118.67
1.0, 158.53, 118.53
1.0, 158.83, 118.82
1.0, 158.28, 118.45
1.0, 158.37, 118.65
1.0, 158.64, 119.0
1.0, 157.97, 119.15
1.0, 158.42, 119.23
1.0, 158.37, 118.83
1.0, 158.1, 118.92
1.0, 158.53, 118.81
1.0, 158.62, 118.89
1.0, 158.62, 118.96
1.0, 158.59, 119.16
1.0, 158.8, 118.7
1.0, 158.91, 119.1
1.0, 158.94, 119.59
1.0, 159.04, 119.51
1.0, 158.96, 119.84
1.0, 158.69, 118.77
1.0, 158.85, 118.89
1.0, 158.84, 118.84
1.0, 158.68, 119.3
1.0, 158.76, 119.09
1.0, 158.59, 118.78
1.0, 158.66, 118.69
1.0, 158.82, 119.08
1.0, 158.86, 119.22
1.0, 159.0, 119.59
1.0, 158.95, 119.32
1.0, 158.82, 119.08
1.0, 158.97, 119.24
1.0, 158.96, 119.44
1.0, 158.83, 119.52
1.0, 158.78, 119.53
1.0, 159.04, 119.56
1.0, 158.98, 119.43
1.0, 159.0, 119.56
1.0, 158.98, 119.58
1.0, 158.8, 119.63
1.0, 158.71, 119.93
1.0, 158.66, 119.75
1.0, 158.78, 120.05
1.0, 158.56, 120.03
1.0, 158.69, 120.36
1.0, 158.58, 120.02
1.0, 158.73, 120.1
1.0, 158.31, 120.17
1.0, 158.42, 120.28
1.0, 158.53, 120.04
1.0, 158.5, 120.14
1.0, 158.16, 120.37
1.0, 158.29, 120.41
1.0, 158.4, 120.4
1.0, 158.47, 120.42
1.0, 158.72, 120.39
1.0, 158.69, 120.48
1.0, 158.65, 120.32
1.0, 158.28, 120.69
1.0, 158.07, 120.76
1.0, 158.11, 120.88
1.0, 158.13, 120.93
1.0, 158.05, 120.79
1.0, 157.93, 120.83
1.0, 157.93, 120.71
1.0, 158.49, 120.59
1.0, 158.43, 120.57
1.0, 158.28, 120.62
1.0, 158.26, 120.81
1.0, 158.32, 120.87
1.0, 158.17, 120.74
1.0, 158.06, 120.79
1.0, 158.61, 120.56
1.0, 158.9, 119.93
1.0, 158.88, 120.23
1.0, 158.79, 120.04
1.0, 159.05, 120.06
1.0, 158.98, 120.14
1.0, 158.83, 120.37
1.0, 158.48, 120.5
1.0, 158.64, 120.61
1.0, 158.65, 120.44
